"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\app\app\calculator\page.tsx", "TypeScript JSX", 0, -67, 291, 0, 224
"c:\dev\imersive vision\client\src\app\app\calculator\utilities\calculate.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\dev\imersive vision\client\src\app\app\calculator\utilities\interfaces.ts", "TypeScript", -4, 0, 0, -1, -5
"c:\dev\imersive vision\client\src\app\app\complete-invoice\calculator\[amount]\page.tsx", "TypeScript JSX", 0, 17, 0, 3, 20
"c:\dev\imersive vision\client\src\app\app\complete-invoice\components\completeInvoicePage.tsx", "TypeScript JSX", 0, 4, 0, -1, 3
"c:\dev\imersive vision\client\src\app\app\login\page.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"c:\dev\imersive vision\client\src\app\app\utilities\interfaces.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\dev\imersive vision\client\src\app\layout.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"c:\dev\imersive vision\client\src\app\page6\page.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"c:\dev\imersive vision\client\src\app\template\[project]\page.tsx", "TypeScript JSX", 0, 36, 0, 4, 40
"c:\dev\imersive vision\client\src\app\template\components\page10\index.tsx", "TypeScript JSX", 0, 31, 0, 2, 33
"c:\dev\imersive vision\client\src\app\template\components\page1\components\header.tsx", "TypeScript JSX", 0, 99, 1, 9, 109
"c:\dev\imersive vision\client\src\app\template\components\page1\index.tsx", "TypeScript JSX", 0, 65, 0, 2, 67
"c:\dev\imersive vision\client\src\app\template\components\page2\index.tsx", "TypeScript JSX", 0, 45, 0, 3, 48
"c:\dev\imersive vision\client\src\app\template\components\page3\index.tsx", "TypeScript JSX", 0, 72, 0, 2, 74
"c:\dev\imersive vision\client\src\app\template\components\page4\index.tsx", "TypeScript JSX", 0, 177, 0, 2, 179
"c:\dev\imersive vision\client\src\app\template\components\page5\components\NavBar.tsx", "TypeScript JSX", 0, 57, 0, 4, 61
"c:\dev\imersive vision\client\src\app\template\components\page5\index.tsx", "TypeScript JSX", 0, 146, 0, 5, 151
"c:\dev\imersive vision\client\src\app\template\components\page6\index.tsx", "TypeScript JSX", 0, 42, 0, 2, 44
"c:\dev\imersive vision\client\src\app\template\components\page7\index.tsx", "TypeScript JSX", 0, 96, 0, 4, 100
"c:\dev\imersive vision\client\src\app\template\components\page8\index.tsx", "TypeScript JSX", 0, 184, 0, 8, 192
"c:\dev\imersive vision\client\src\app\template\components\page9\index.tsx", "TypeScript JSX", 0, 85, 0, 3, 88
"c:\dev\imersive vision\client\src\app\template\config\avalon-park-wesley-chapel.ts", "TypeScript", 339, 0, 0, 10, 349
"c:\dev\imersive vision\client\src\app\template\config\configMap.ts", "TypeScript", 6, 0, 0, 2, 8
"c:\dev\imersive vision\client\src\app\template\config\erna.ts", "TypeScript", 198, 0, 0, 10, 208
"c:\dev\imersive vision\client\src\app\template\utils\interfaces.ts", "TypeScript", 71, 0, 0, 14, 85
"c:\dev\imersive vision\client\src\components\customInput.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"c:\dev\imersive vision\client\src\components\header.tsx", "TypeScript JSX", 0, 2, 0, 0, 2
"c:\dev\imersive vision\client\src\utils\consts.ts", "TypeScript", 10, 0, 0, 1, 11
"Total", "-", 622, 1095, 292, 88, 2097
